"seller id","warehouse id","store order id","order release id","order line id","seller order id","order id fk","cancellation reason","cancellation type","order creation date","order cancellation date","seller packet id","store packet id","order status","style id","sku code"
"31995","50622","131151476111631371001","8734949680","10734918761","2c06fc60-a398-4b5c-8c21-fa89b5610c19","5631246511","Delayed Delivery Cancellation","Customer Request","2025-10-05 09:23:09.000","2025-10-09 21:48:55.000","1720802540","8734949680","F","36646496","PEAXSARS117162935"
"31995","50622","131156579888855916103","8737752002","10737729100","91e1ee39-9c27-49a1-a1fa-807dd5c602ec","5632794164","Ordered By Mistake","Customer Request","2025-10-05 23:33:47.000","2025-10-05 23:51:22.000",,,"F","34858705","PEAXKASS112050606"
"31995","50622","131139946337551954203","8731757983","10731719946","fe4d634a-210a-4a88-83a0-1a04c2f4121c","5629376799","Product not required anymore","Customer Request","2025-10-04 01:21:31.000","2025-10-04 01:21:46.000",,,"F","36644574","PEAXSARS117158418"
"31995","50622","131161287528623300001","8738568188","10738549592","bb34d650-13b6-45b5-a7bb-bae18ca414d6","5633280285","Ordered By Mistake","Customer Request","2025-10-06 12:38:23.000","2025-10-06 17:58:37.000",,,"F","34858667","PEAXKASS112050437"
"31995","50622","131219267027512273001","8752380601","10752419759","62056324-daf9-4dcc-b611-3cf9f376c48f","5642004994","Incorrect size ordered","Customer Request","2025-10-13 05:41:38.000","2025-10-13 05:43:58.000",,,"F","35859073","PEAXSARS114649219"
"31995","50622","131214382497359980403","8750907069","10750944863","012289bb-c723-44ad-8801-546c89bcad1e","5641156285","Vendor Failed to Handover","CC Cancellation","2025-10-12 16:07:33.000","2025-10-13 22:49:53.000","1725737312","8750907069","F","36646497","PEAXSARS117162936"
"31995","50622","131151562535675074701","8734977319","10734948718","e7f7223a-31a1-45ca-a1f1-f3128d961a7f","5631263635","Cash Issue","Customer Request","2025-10-05 09:37:33.000","2025-10-05 09:39:03.000",,,"F","34858687","PEAXKASS112050528"
"31995","50622","131189793054617397801","8744923235","10744935734","70f10c5b-4cd0-4448-ab8c-19dd03c2970b","5637492813","Duplicate Order","Customer Request","2025-10-09 19:49:18.000","2025-10-13 18:05:40.000","1723486099","8744923235","F","36106850","PEAXKASS115371273"
"31995","50622","131161390114916303201","8738591536","10738572940","d86194f1-6255-4e9c-9c80-1129ff1abc9c","5633296095","Delayed Delivery Cancellation","Customer Request","2025-10-06 12:55:29.000","2025-10-08 14:57:38.000","1721487238","8738591536","F","36646513","PEAXSARS117162952"
"31995","50622","131117062463819975701","8724689211","10724639379","0c83d6c5-fa52-40cb-a25c-972e7c13889d","5625110112","Cash Issue","Customer Request","2025-10-01 09:47:33.000","2025-10-01 09:49:22.000",,,"F","35448068","PEAXSARS113565645"
"31995","50622","131154527617532612901","8736364671","10736341800","3937cbbc-2031-4d0e-be54-4aa05f7aca2a","5632066499","Product not required anymore","Customer Request","2025-10-05 17:51:44.000","2025-10-05 17:52:04.000",,,"F","36644600","PEAXSARS117158448"
"31995","50622","131182281806842413903","8743380671","10743385227","5befb0ca-158a-4731-8bfa-10885b43ff7a","5636480591","Delayed Delivery Cancellation","Customer Request","2025-10-08 22:57:26.000","2025-10-11 14:27:14.000","1722848309","8743380671","F","34858673","PEAXKASS112050462"
"31995","50622","131069879478141562601","8709445841","10709380917","83b4b143-bbca-4232-a5b0-94626e77af23","5616330201","Lost in-Transit","Lost Order Cancellation","2025-09-25 22:43:43.000","2025-10-20 20:36:02.000","1710375579","8709445841","F","34858682","PEAXKASS112050505"
"31995","50622","131136995891052054801","8730638409","10730600338","9b6b0609-6b77-4c42-80f5-f99b0b8a054b","5628705330","Delayed Delivery Cancellation","Customer Request","2025-10-03 17:09:48.000","2025-10-11 16:44:12.000","1718776263","8730638409","F","34934733","PEAXKASS112266089"
"31995","50622","131225391422544668801","8754017630","10754066669","6bd3b609-ca86-4ed3-bd58-52dccf392a7d","5643044252","Product not required anymore","Customer Request","2025-10-13 22:42:22.000","2025-10-16 23:03:14.000","1726458643","8754017630","F","36646549","PEAXSARS117162988"
"31995","50622","131131390943570191203","8729385966","10729342177","81c13ba7-3f2a-4dcb-b0e5-953172054ea9","5627927889","Vendor Failed to Handover","CC Cancellation","2025-10-03 01:35:37.000","2025-10-03 23:52:56.000","1717835186","8729385966","F","34858673","PEAXKASS112050464"
"31995","50622","131162113380829971103","8738752809","10738734213","1ed5a130-a3d6-4f48-8717-a9a9a52ed7b7","5633407438","Delayed Delivery Cancellation","Customer Request","2025-10-06 14:56:02.000","2025-10-11 22:57:54.000","1721487247","8738752809","F","34858705","PEAXKASS112050604"
