"seller id","warehouse id","store order id","order release id","order line id","seller order id","order id fk","created on","style id","seller sku code","sku id","myntra sku code","size","vendor article number","brand","style name","article type","order status","packet id","seller packet id","courier code","order tracking number","seller warehouse id","cancellation reason id fk","cancellation reason","packed on","fmpu date","inscanned on","shipped on","delivered on","cancelled on","rto creation date","lost date","return creation date","final amount","total mrp","discount","coupon discount","shipping charge","gift charge","tax recovery","city","state","zipcode","gt charges","seller price"
"31995","50622","'131182409903064659401","8743427500","10743432056","cb3bf5a0-52ed-449c-b609-3057e08eb362","5636509040","2025-10-08 23:18:47.000","34798676","PEEN-9801-M","111863930","PEAXKASS111863930","M","PEEN-9801- Pink","PEENGAX","PEENGAX Women Floral Embroidered Kurta with Trousers & Dupatta","Kurta Sets","C","8743427500","1722848286","EK_E2E","MYEC1069540533","50622",,,"2025-10-09 10:40:57.000","2025-10-10 15:35:59.000","2025-10-11 09:58:28.000","2025-10-11 10:04:37.000","2025-10-15 15:26:28.000",,,,"2025-10-16 11:49:00","1850.00","7400.00","5550.00","0.00","0.00","0.00","0.00","Narkatiaganj","BR","845455","194","1656"
"31995","50622","'131198392275438861503","8746891593","10746912581","94ac788a-5d4a-4441-8887-4f7f2b73597f","5638729371","2025-10-10 19:42:32.000","36646503","RP- AIRAAVAT PATOLA- 508","117162942","PEAXSARS117162942","Onesize","RP- AIRAAVAT PATOLA- 508- Mustard","PEENGAX","PEENGAX Ethnic Motifs Zari Art Silk Patola Saree","Sarees","F",,,"flipkartlogistics",,"50622","79","Duplicate Order",,,,,,"2025-10-11 00:07:05.000",,,,"1950.00","6500.00","4550.00","0.00","0.00","0.00","0.00","New Delhi","DL","110080","194","1756"
"31995","50622","'131224655735510225101","8753740680","10753789715","df5045d9-86ac-4ffb-9762-7ec913610af9","5642871778","2025-10-13 20:39:45.000","35001847","PEEN- 2015- S","112444930","PEAXKASS112444930","S","PEEN-2015- Red","PEENGAX","PEENGAX Women Solid Embroidered Kurta with Trousers & Dupatta","Kurta Sets","C","8753740680","1726458637","EK_E2E","MYEC1070424209","50622",,,"2025-10-14 10:49:51.000","2025-10-14 19:22:20.000","2025-10-15 01:55:10.000","2025-10-15 02:01:50.000","2025-10-18 13:48:16.000",,,,,"1550.00","6200.00","4650.00","0.00","0.00","0.00","0.00","Udupi","KA","574106","194","1356"
"31995","50622","'131155537638962698301","8736914398","10736891517","557611a1-18b7-4d4b-8f65-168ba6727f49","5632374246","2025-10-05 20:40:04.000","34858705","PEEN-26001-S","112050604","PEAXKASS112050604","S","PEEN-26001- Cream","PEENGAX","PEENGAX Women Floral Yoke Design Regular Thread Work Kurta with Trousers & With Dupatta","Kurta Sets","C","8736914398","1720802549","EK_E2E","MYEP1086431049","50622",,,"2025-10-06 10:25:24.000","2025-10-06 16:39:24.000","2025-10-07 03:09:30.000","2025-10-07 03:14:43.000","2025-10-09 12:36:27.000",,,,"2025-10-10 13:05:00","1405.00","7400.00","5995.00","250.00","0.00","0.00","0.00","Pune","MH","411032","194","1211"
"31995","50622","'131187892494786403903","8744410196","10744418634","ad529026-0a49-4119-9e19-48d2058656e7","5637147465","2025-10-09 14:32:34.000","34858690","PEEN-26002-XXL","112050543","PEAXKASS112050543","XXL","PEEN-26002- Brown","PEENGAX","PEENGAX Floral Yoke Design Regular Thread Work Kurta With Trousers And Dupatta","Kurta Sets","F","8744410196","1723486094","flipkartlogistics","MYSP1306360133","50622","31","Cash Issue","2025-10-10 10:24:56.000","2025-10-10 15:42:33.000","2025-10-11 01:34:21.000","2025-10-11 01:41:07.000",,"2025-10-11 08:18:41.000",,,,"1627.00","7400.00","5773.00","0.00","0.00","0.00","0.00","Bangalore","KA","560095","194","1433"
"31995","50622","'131156602162334652901","8737775552","10737752650","f8674f4a-5dfe-4a51-b52e-6a6a404fb74d","5632804531","2025-10-05 23:37:30.000","34858663","PEEN-25001- XL","112050420","PEAXKASS112050420","XL","PEEN-25001- Mustard","PEENGAX","PEENGAX Women Floral Embroidered Pure Silk Kurta with Trousers & With Dupatta Kurta Sets","Kurta Sets","C","8737775552","1720802371","EK_E2E","MYEP1086435265","50622",,,"2025-10-06 10:29:46.000","2025-10-06 16:38:25.000","2025-10-07 02:53:32.000","2025-10-07 02:59:19.000","2025-10-12 17:00:09.000",,,,"2025-10-13 23:32:00","1177.00","6200.00","5023.00","0.00","0.00","0.00","0.00","Jorhat","AS","785001","194","983"
"31995","50622","'131217374080854873101","8752196205","10752235368","3667125f-7c7f-4ea9-ab61-570a61092984","5641902368","2025-10-13 00:26:09.000","36646509","RP- VRUNDAVAN SILK- 469","117162948","PEAXSARS117162948","Onesize","RP- VRUNDAVAN SILK- 469- Cream","PEENGAX","PEENGAX Ethnic Motifs Woven Design Art Silk Patola Saree","Sarees","C","8752196205","1725737318","flipkartlogistics","MYSP1307969336","50622",,,"2025-10-13 11:21:24.000","2025-10-13 21:02:18.000","2025-10-14 08:02:00.000","2025-10-14 08:08:58.000","2025-10-16 18:54:32.000",,,,"2025-10-18 00:51:00","1950.00","6500.00","4550.00","0.00","0.00","0.00","0.00","Mumbai","MH","400084","194","1756"
"31995","50622","'131137590611393955803","8730831878","10730793810","e4b671ee-e1c8-44bf-ad3e-f3a4c406c5c9","5628828661","2025-10-03 18:48:54.000","36646513","RP- VRUNDAVAN SILK- 471","117162952","PEAXSARS117162952","Onesize","RP- VRUNDAVAN SILK- 471- Pink","PEENGAX","PEENGAX Printed Border Patola Saree","Sarees","C","9785598298","1718776308","flipkartlogistics","MYSP1302728488","50622",,,"2025-10-04 10:29:45.000","2025-10-04 17:42:57.000","2025-10-05 01:11:03.000","2025-10-05 01:16:52.000","2025-10-09 12:05:10.000",,,,"2025-10-09 12:49:00","1950.00","6500.00","4550.00","0.00","0.00","0.00","0.00","Kamrup","AS","781011","194","1756"
"31995","50622","'131117062463819975701","8724689211","10724639379","0c83d6c5-fa52-40cb-a25c-972e7c13889d","5625110112","2025-10-01 09:47:33.000","35448068","PEEN- ARHAM- 1002","113565645","PEAXSARS113565645","Onesize","PEEN- ARHAM-1002- Lime Green","PEENGAX","PEENGAX Geometric Printed Pure Cotton Ikat Saree","Sarees","F",,,"EK_E2E",,"50622","43","Cash Issue",,,,,,"2025-10-01 09:49:22.000",,,,"959.00","4800.00","3841.00","0.00","0.00","0.00","0.00","Vellore","TN","632004","118","841"
"31995","50622","'131145239419052705503","8733016096","10732984420","69b5587f-21d7-4d6c-80ef-fb2a1659cfeb","5630129904","2025-10-04 16:03:42.000","34858673","PEEN-26003-M","112050463","PEAXKASS112050463","M","PEEN-26003- Peach","PEENGAX","PEENGAX Floral Embroidered Art Silk Anarkali Kurta With Trousers And Dupatta","Kurta Sets","F",,,"EK_E2E",,"50622","41","Incorrect size ordered",,,,,,"2025-10-04 17:33:03.000",,,,"1405.00","7400.00","5995.00","0.00","0.00","0.00","0.00","Pune","MH","411032","194","1211"
