"seller_id","warehouse_id","myntra_sku_code","seller_sku_code","style_id","sku_id","brand","order_created_date","inscanned_on","fmpu_date","order_delivered_date","return_created_date","refunded_date","order_rto_date","is_refunded","exchange_id","order_id","order_group_id","order_line_id","seller_order_id","status","store_packet_id","seller_packet_id_fk","quantity","return_id","return_mode","return_reason","return_status","forward_tracking_number","return_tracking_number","master_bag_id","lmdo_last_modified_on","gatepass_id","gatepass_status","gatepass_type","gatepass_lastmodified"
"31995","50622","PEAXSARS117162948","RP- VRUNDAVAN SILK- 469","36646509","117162948","PEENGAX","2025-10-03","2025-10-05",,"2025-10-09","2025-10-10","2025-10-10",,"1","8744244898","8730831881","5628828661","10730793814","bca34034-2f53-422a-8572-0d18f939a229","Return","9785598298","1718776308","1","100089070006","OPEN_BOX_PICKUP","I do not need it anymore","DLS","MYSP1302728488","MYSR1160778397",,"2025-11-11 15:12:11.000",,,,
"31995","50622","PEAXKASS112050543","PEEN-26002-XXL","34858690","112050543","PEENGAX","2025-10-09","2025-10-11",,,"1970-01-01",,"2025-10-11",,,"8744410196","5637147465","10744418634","ad529026-0a49-4119-9e19-48d2058656e7","RTO","8744410196","1723486094","1",,,,,"MYSP1306360133",,,"2025-10-29 14:41:00.000",,,,
"31995","50622","PEAXSARS117162955","RP- AQUA SILK- 527","36646516","117162955","PEENGAX","2025-09-25","2025-09-26",,"2025-09-27","2025-10-03","2025-10-04",,"1",,"8707358959","5615105838","10707292306","c509d1b8-d0e8-4e2c-84f9-33adc3b68e34","Return","8707358959","1709106956","1","100085996683","OPEN_BOX_PICKUP","Product image was better than the actual product","DLS","MYSP1296305250","MYSR1158474138",,"2025-10-13 18:40:10.000",,,,
"31995","50622","PEAXKASS113784539","PEEN- 2094- M","35524159","113784539","PEENGAX","2025-09-30","2025-10-02",,"2025-10-06","2025-10-06","2025-10-07",,"1",,"8723739313","5624547804","10723687772","7bdefe17-be3e-4ba8-8e6f-37684d20c722","Return","8723739313","1716134630","1","100087500528","OPEN_BOX_PICKUP","Received a poor quality product","DLS","MYSC1214929281","MYSR1159595394",,"2025-10-17 14:21:02.000",,,,
"31995","50622","PEAXKASS112050435","PEEN-22001-S","34858667","112050435","PEENGAX","2025-10-05","2025-10-08",,,"1970-01-01",,"2025-10-12",,,"8736716177","5632264909","10736693301","c6d8d456-9726-495c-8ed3-183420659d2e","RTO","8736716177","1720802332","1",,,,,"MYSC1217298462",,,"2025-10-29 14:41:00.000",,,,
"31995","50622","PEAXKASS112050462","PEEN-26003-S","34858673","112050462","PEENGAX","2025-10-07","2025-10-09",,"2025-10-13","2025-10-13","2025-10-15",,"1",,"8741313352","5635130003","10741308417","c36e289d-fff9-48e2-9b10-018a492601ee","Return","8741313352","1722180922","1","100090581541","OPEN_BOX_PICKUP","I did not like the fit","DLS","MYSC1218096525","MYSR1161899429",,"2025-11-03 15:47:51.000",,,,
"31995","50622","PEAXSARS117162946","RP- AQUA SILK- 524","36646507","117162946","PEENGAX","2025-10-08","2025-10-09",,"2025-10-11","2025-10-13","2025-10-14",,"1",,"8741954871","5635536211","10741949949","1467a212-d4c6-4297-a4e7-0d4e0bd47f18","Return","8741954871","1722180980","1","100090468070","OPEN_BOX_PICKUP","Size too big","DLS","MYSC1218096268","MYSR1161815075",,"2025-10-29 14:41:00.000",,,,
"31995","50622","PEAXSARS119255825","PEEN- DURGA EDITION- 19005","37292416","119255825","PEENGAX","2025-10-08","2025-10-10",,"2025-10-12","2025-10-12","2025-10-13",,"1",,"8743073044","5636278555","10743077600","b3d69e1a-d954-45d2-abd8-206ad4b8b419","Return","8743073044","1722848235","1","100090036757","OPEN_BOX_PICKUP","Received a poor quality product","DLS","MYSP1305895791","MYSR1161495021",,"2025-10-29 14:41:00.000",,,,
"31995","50622","PEAXCOORD118962391","PEEN- 501- XL","37191989","118962391","PEENGAX","2025-10-03","2025-10-05",,"2025-10-14","2025-10-20","2025-10-22",,"1",,"8730081710","5628360986","10730040234","2da1baad-74cf-4f91-901b-07b685da4619","Return","8730081710","1718776244","1","100093053507","OPEN_BOX_PICKUP","Product image was better than the actual product","DLS","MYEC1068595499","MYER1046957440",,"2025-11-06 21:28:30.000",,,,
"31995","50622","PEAXKASS112050462","PEEN-26003-S","34858673","112050462","PEENGAX","2025-10-07","2025-10-08",,"2025-10-11","2025-10-11","2025-10-12",,"1",,"8741155733","5635025991","10741150797","ba409966-5ded-49ac-8ae7-844001ffd620","Return","8741155733","1722180941","1","100089717944","OPEN_BOX_PICKUP","I did not like the fit","DLS","MYEC1069362984","MYSR1161258077",,"2025-11-03 15:47:51.000",,,,
"31995","50622","PEAXSARS117162952","RP- VRUNDAVAN SILK- 471","36646513","117162952","PEENGAX","2025-10-12","2025-10-14",,"2025-10-17","2025-10-17","2025-10-18",,"1",,"8752076468","5641839610","10752115631","92511a01-09cb-44f6-ad20-93b937319d78","Return","8752076468","1725737361","1","100092076920","OPEN_BOX_PICKUP","I did not like the fit","DLS","MYSC1220009836","MYSR1162997404",,"2025-11-10 16:56:28.000",,,,
"31995","50622","PEAXCOORD118962397","PEEN- 503- S","37191992","118962397","PEENGAX","2025-10-02","2025-10-04",,"2025-10-07","2025-10-07","2025-10-07",,"1",,"8727958395","5627112723","10727914558","31921850-95dc-47af-bf07-551c3316cca4","Return","8727958395","1717835288","1","100087875198","OPEN_BOX_PICKUP","Product image was better than the actual product","DLS","MYSP1302034496","MYSR1159875997",,"2025-10-15 15:36:11.000",,,,
"31995","50622","PEAXKASS112266089","PEEN-45001-L","34934733","112266089","PEENGAX","2025-10-03","2025-10-09",,,"1970-01-01",,"2025-10-11",,,"8730638409","5628705330","10730600338","9b6b0609-6b77-4c42-80f5-f99b0b8a054b","RTO","8730638409","1718776263","1",,,,,"MYSP1302725635",,,"2025-10-29 14:41:00.000",,,,
"31995","50622","PEAXKASS112050608","PEEN-26001-XXL","34858705","112050608","PEENGAX","2025-10-08","2025-10-09",,"2025-10-13","2025-10-16","2025-10-18",,"1",,"8743454242","5636525056","10743458797","609e9356-6d48-47d2-9201-c0cac8cca368","Return","8743454242","1722848250","1","100091663366","OPEN_BOX_PICKUP","Size too big","DLS","MYEC1069542471","MYSR1162695485",,"2025-11-12 15:32:57.000",,,,
"31995","50622","PEAXCOORD118962408","PEEN- 502- XL","37191993","118962408","PEENGAX","2025-10-01","2025-10-04",,,"1970-01-01",,"2025-10-09",,,"8725803573","5625799091","10725755601","150483f7-92e3-4573-ab46-1ecf36db6478","RTO","8725803573","1716936354","1",,,,,"MYSC1215333112",,,"2025-10-29 14:41:00.000",,,,
